"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TT_TU_MN009","1443","201905060000","0.6","1","7"
"TT_TU_MN009","1443","201905060100","0.1","1","7"
"TT_TU_MN009","1443","201905060200","0.1","1","7"
"TT_TU_MN009","1443","201905060300","-0.1","1","7"
"TT_TU_MN009","1443","201905060400","0.2","1","7"
"TT_TU_MN009","1443","201905060500","0.9","1","7"
"TT_TU_MN009","1443","201905060600","2.5","1","7"
"TT_TU_MN009","1443","201905060700","4.7","1","7"
"TT_TU_MN009","1443","201905060800","6.4","1","7"
"TT_TU_MN009","1443","201905060900","8.3","1","7"
"TT_TU_MN009","1443","201905061000","8.2","1","7"
"TT_TU_MN009","1443","201905061100","9.5","1","7"
"TT_TU_MN009","1443","201905061200","9.2","1","7"
"TT_TU_MN009","1443","201905061300","10.7","1","7"
"TT_TU_MN009","1443","201905061400","11.2","1","7"
"TT_TU_MN009","1443","201905061500","11.6","1","7"
"TT_TU_MN009","1443","201905061600","11.2","1","7"
"TT_TU_MN009","1443","201905061700","10.8","1","7"
"TT_TU_MN009","1443","201905061800","10.7","1","7"
"TT_TU_MN009","1443","201905061900","9.6","1","7"
"TT_TU_MN009","1443","201905062000","8.5","1","7"
"TT_TU_MN009","1443","201905062100","9.1","1","7"
"TT_TU_MN009","1443","201905062200","7","1","7"
"TT_TU_MN009","1443","201905062300","6.6","1","7"
"TT_TU_MN009","1443","201905070000","6.5","1","7"
"TT_TU_MN009","1443","201905070100","3.7","1","7"
"TT_TU_MN009","1443","201905070200","2.4","1","7"
"TT_TU_MN009","1443","201905070300","2.1","1","7"
"TT_TU_MN009","1443","201905070400","1.8","1","7"
"TT_TU_MN009","1443","201905070500","1.6","1","7"
"TT_TU_MN009","1443","201905070600","4.5","1","7"
"TT_TU_MN009","1443","201905070700","7.3","1","7"
"TT_TU_MN009","1443","201905070800","8.4","1","7"
"TT_TU_MN009","1443","201905070900","10.9","1","7"
"TT_TU_MN009","1443","201905071000","11.2","1","7"
"TT_TU_MN009","1443","201905071100","12.5","1","7"
"TT_TU_MN009","1443","201905071200","12.9","1","7"
"TT_TU_MN009","1443","201905071300","14","1","7"
"TT_TU_MN009","1443","201905071400","14.7","1","7"
"TT_TU_MN009","1443","201905071500","14.5","1","7"
"TT_TU_MN009","1443","201905071600","14.6","1","7"
"TT_TU_MN009","1443","201905071700","14.9","1","7"
"TT_TU_MN009","1443","201905071800","14.2","1","7"
"TT_TU_MN009","1443","201905071900","12.9","1","7"
"TT_TU_MN009","1443","201905072000","11.5","1","7"
"TT_TU_MN009","1443","201905072100","10.8","1","7"
"TT_TU_MN009","1443","201905072200","9.9","1","7"
"TT_TU_MN009","1443","201905072300","9.9","1","7"
"TT_TU_MN009","1443","201905080000","10.5","1","7"
"TT_TU_MN009","1443","201905080100","9.1","1","7"
"TT_TU_MN009","1443","201905080200","9.3","1","7"
"TT_TU_MN009","1443","201905080300","9.6","1","7"
"TT_TU_MN009","1443","201905080400","9.7","1","7"
"TT_TU_MN009","1443","201905080500","8.7","1","7"
"TT_TU_MN009","1443","201905080600","9.2","1","7"
"TT_TU_MN009","1443","201905080700","12.3","1","7"
"TT_TU_MN009","1443","201905080800","13","1","7"
"TT_TU_MN009","1443","201905080900","13.2","1","7"
"TT_TU_MN009","1443","201905081000","13.1","1","7"
"TT_TU_MN009","1443","201905081100","13.9","1","7"
"TT_TU_MN009","1443","201905081200","14.6","1","7"
"TT_TU_MN009","1443","201905081300","14.4","1","7"
"TT_TU_MN009","1443","201905081400","14.2","1","7"
"TT_TU_MN009","1443","201905081500","13.9","1","7"
"TT_TU_MN009","1443","201905081600","13.3","1","7"
"TT_TU_MN009","1443","201905081700","11.2","1","7"
"TT_TU_MN009","1443","201905081800","10.3","1","7"
"TT_TU_MN009","1443","201905081900","11.3","1","7"
"TT_TU_MN009","1443","201905082000","11.2","1","7"
"TT_TU_MN009","1443","201905082100","11","1","7"
"TT_TU_MN009","1443","201905082200","10.6","1","7"
"TT_TU_MN009","1443","201905082300","11.7","1","7"
"TT_TU_MN009","1443","201905090000","11.2","1","7"
"TT_TU_MN009","1443","201905090100","10.8","1","7"
"TT_TU_MN009","1443","201905090200","9.6","1","7"
"TT_TU_MN009","1443","201905090300","10.2","1","7"
"TT_TU_MN009","1443","201905090400","9.2","1","7"
"TT_TU_MN009","1443","201905090500","11.3","1","7"
"TT_TU_MN009","1443","201905090600","12.1","1","7"
"TT_TU_MN009","1443","201905090700","11.6","1","7"
"TT_TU_MN009","1443","201905090800","11.8","1","7"
"TT_TU_MN009","1443","201905090900","13.5","1","7"
"TT_TU_MN009","1443","201905091000","14.1","1","7"
